LessonKey, BlendingWordList, JsonWordList
"Fat Cat Sat","fat,cat,hat,sat,mat,pat,bat,rat,vat","fat,cat,hat,sat,mat,pat,bat,rat,tat,vat"
"Cap Gap Tap","cap,gap,lap,map,rap,sap,tap,zap","cap,gap,lap,map,nap,pap,rap,sap,tap,wap,yap,zap"
"Cat + Cap","fat,cat,hat,sat,mat,pat,bat,rat,vat,cap,gap,lap,map,rap,sap,tap,zap","cap,gap,lap,map,nap,pap,rap,sap,tap,wap,yap,zap"
"Bag Nag Tag","bag,hag,jag,lag,nag,rag,sag,tag,wag","bag,gag,hag,jag,lag,nag,rag,sag,tag,wag,zag"
"Fan Can Tan","ban,can,Dan,fan,Jan,lan,man,pan,ran,tan,van","ban,can,Dan,fan,Jan,lan,man,pan,ran,tan,van"
"Bat + Bag","fat,cat,hat,sat,mat,pat,bat,rat,vat,bag,hag,jag,lag,nag,rag,sag,tag,wag","bag,gag,hag,jag,lag,nag,rag,sag,tag,wag,zag"
"Cat + Cap + Bag + Fan","ban,can,Dan,fan,Jan,lan,man,pan,ran,tan,van,fat,cat,hat,sat,mat,pat,bat,rat,vat,cap,gap,lap,map,rap,sap,tap,zap,bag,hag,jag,lag,nag,rag,sag,tag,wag","bag,gag,jag,mag,lag,nag,rag,sag,tag,wag,zag,bat,cat,fat,hat,mat,pat,sat,vat,cap,gap,lap,map,nap,pap,rap,sap,tap,wap,zap,ban,can,Dan,fan,Jan,man,pan,ran,tan,van"
"b-d-p for /a/ words","pap,dad,bab,dab,bad,pad","pap,bad,dad,dab,bab,pad"
"All Cat Words","bat,bag,bad,bass,dab,dad,Dan,fab,fad,fan,fat,fax,gab,gag,gap,gas,had,ham,hat,has,jab,jag,jam,jazz,lab,lag,lap,mad,man,map,mass,mat,max,nab,nag,nap,pad,Pam,pan,pass,pat,ram,ran,rap,rat,sad,sag,Sam,sat,tab,tag,tam,tan,tap,van,vat,wag,wax,zap","bat,bag,bad,bass,dab,dad,Dan,fab,fad,fan,fat,fax,gab,gag,gap,gas,had,ham,hat,has,jab,jag,jam,jazz,lab,lag,lap,mad,man,map,mass,mat,max,nab,nag,nap,pad,Pam,pan,pass,pat,ram,ran,rap,rat,sad,sag,Sam,sat,tab,tag,tam,tan,tap,van,vat,wag,wax,yap,zap"
"Bit Pit Sit","bit,fit,hit,kit,mitt,pit,sit,wit,zit","it,bit,fit,hit,kit,lit,mitt,pit,sit,wit,zit"
"Bat + Bit","fat,cat,hat,sat,mat,pat,bat,rat,vat,bit,fit,hit,kit,mitt,pit,sit,wit,zit","cat,mat,fat,bat,hat,pat,fat"
"Big Dig Fig","big,dig,fig,jig,pig,rig,wig,zig","big,dig,fig,gig,jig,pig,rig,wig,zig"
"Bit + Big","big,dig,fig,jig,pig,rig,wig,zig,bit,fit,hit,kit,mitt,pit,sit,wit,zit","pit,wit,zit,bit,fit"
"Bag + Big","bag,hag,jag,lag,nag,rag,sag,tag,wag,big,dig,fig,jig,pig,rig,wig,zig","big,dig,fig,gig,jig,pig,rig,wig,zig"
"Contrast /a/ + /i/","dip,hip,jip,lip,nip,pip,rip,sip,zip,big,dig,fig,jig,pig,rig,wig,zig,bag,hag,jag,lag,nag,rag,sag,tag,wag,fat,cat,hat,sat,mat,pat,bat,rat,vat,bit,fit,hit,kit,mitt,pit,sit,wit,zit","nip,sip,jig,zig,rig,gig,tip,rip,wig,lit,mitt,lip,fit,pit,sit,hit"
"b-d-p for /a/ and /i/ words","bib,dib,bid,did,dip,pap,dad,bab,dab,bad,pad","bid,bib,bin,bid,big,bat,bit,biz,did,din,dig,dip,dim"
"All Bit Words","bib,big,bid,Bill,bin,bit,dib,did,dig,dill,din,dim,diss,dip,fib,fin,fig,fill,fit,fix,fizz,gig,gill,hid,hill,him,hip,his,hiss,hit,jib,jig,Jim,jip,kid,kit,kiss,lid,lip,mid,miff,miss,mitt,mix,nip,nit,pill,pin,pit,pig,rib,rid,riff,rig,rim,rip,sid,sill,sin,sip,sis,sit,six,tiff,Tim,till,tin,tip,wig,will,wit,wiz,yip,zig,zip,zit,bat,bag,bad,bass,dab,dad,Dan,fab,fad,fan,fat,fax,gab,gag,gap,gas,had,ham,hat,has,jab,jag,jam,jazz,lab,lag,lap,mad,man,map,mass,mat,max,nab,nag,nap,pad,Pam,pan,pass,pat,ram,ran,rap,rat,sad,sag,Sam,sat,tab,tag,tam,tan,tap,van,vat,wag,wax,zap","bib,big,bid,Bill,bin,bit,biz,did,dig,dill,dim,diss,dip,fib,fin,fig,fill,fit,fix,fizz,gig,gill,hid,hill,him,hip,his,hiss,hit,jig,Jim,kid,kit,kiss,lid,lip,mid,miss,mitt,mix,nip,pill,pin,pit,pig,rib,rid,riff,rig,rim,rip,sill,sin,sip,sis,sit,six,tiff,Tim,till,tin,tip,wig,will,wit,yip,zig,zip,zit"
"Cot Dot Jot","cot,dot,got,hot,jot,lot,not,pot,rot,tot","cot,dot,jot,bot,got,hot,tot,lot,not,pot,rot"
"Cot + Cog + Cop","bog,cog,dog,fog,hog,jog,log,cop,fop,hop,lop,pop,top,cot,dot,got,hot,jot,lot,not,pot,rot,tot","bog,cog,dog,fog,hog,jog,log,bop,cop,hop,lop,mop,pop,sop,top"
"Contrast /a/ + /i/ + /o/","fob,fop,gob,God,hop,job,lob,mob,mod,mop,nod,pod,pop,rob,rod,sob,sod,sop,top,Bob,bog,boss,bop,box,dog,doff,doll,don,dot,fob,fog,fop,fox,gob,God,got,hog,hop,hot,job,jog,jot,lob,log,lot,loss,mob,mod,mom,moss,mop,nod,non,not,pod,pop,pot,pox,rob,rod,Ron,rot,sob,sod,sop,tom,toss,top,tot,bat,bag,bad,bass,dab,dad,Dan,fab,fad,fan,fat,fax,gab,gag,gap,gas,had,ham,hat,has,jab,jag,jam,jazz,lab,lag,lap,mad,man,map,mass,mat,max,nab,nag,nap,pad,Pam,pan,pass,pat,ram,ran,rap,rat,sad,sag,Sam,sat,tab,tag,tam,tan,tap,van,vat,wag,wax,zap,bib,big,bid,Bill,bin,bit,dib,did,dig,dill,din,dim,diss,dip,fib,fin,fig,fill,fit,fix,fizz,gig,gill,hid,hill,him,hip,his,hiss,hit,jib,jig,Jim,jip,kid,kit,kiss,lid,lip,mid,miff,miss,mitt,mix,nip,nit,pill,pin,pit,pig,rib,rid,riff,rig,rim,rip,sid,sill,sin,sip,sis,sit,six,tiff,Tim,till,tin,tip,wig,will,wit,wiz,yip,zig,zip,zit","pat,pit,pot,bag,big,bog,nat,nit,not,jab,jib,job,sad,sid,sod,tap,tip,top,bat,bit,bot"
"b-d-p for Bat-Bit-Bot Words","Bob,pod,pop,bop,bib,dib,bid,did,dip,pap,dad,bab,dab,bad,pad","dob,pop,bob,bod,pod,bot,dot,pot,bog,dog,doc,bop"
"All Cot Words","Bob,bog,boss,bop,box,dog,doff,doll,don,dot,fob,fog,fop,fox,gob,God,got,hog,hop,hot,job,jog,jot,lob,log,lot,loss,mob,mod,mom,moss,mop,nod,non,not,pod,pop,pot,pox,rob,rod,Ron,rot,sob,sod,sop,tom,toss,top,tot,bat,bag,bad,bass,dab,dad,Dan,fab,fad,fan,fat,fax,gab,gag,gap,gas,had,ham,hat,has,jab,jag,jam,jazz,lab,lag,lap,mad,man,map,mass,mat,max,nab,nag,nap,pad,Pam,pan,pass,pat,ram,ran,rap,rat,sad,sag,Sam,sat,tab,tag,tam,tan,tap,van,vat,wag,wax,zap,bib,big,bid,Bill,bin,bit,dib,did,dig,dill,din,dim,diss,dip,fib,fin,fig,fill,fit,fix,fizz,gig,gill,hid,hill,him,hip,his,hiss,hit,jib,jig,Jim,jip,kid,kit,kiss,lid,lip,mid,miff,miss,mitt,mix,nip,nit,pill,pin,pit,pig,rib,rid,riff,rig,rim,rip,sid,sill,sin,sip,sis,sit,six,tiff,Tim,till,tin,tip,wig,will,wit,wiz,yip,zig,zip,zit,bib,big,bid,Bill,bin,bit,dib,did,dig,dill,din,dim,diss,dip,fib,fin,fig,fill,fit,fix,fizz,gig,gill,hid,hill,him,hip,his,hiss,hit,jib,jig,Jim,jip,kid,kit,kiss,lid,lip,mid,miff,miss,mitt,mix,nip,nit,pill,pin,pit,pig,rib,rid,riff,rig,rim,rip,sid,sill,sin,sip,sis,sit,six,tiff,Tim,till,tin,tip,wig,will,wit,wiz,yip,zig,zip,zit","Bob,bog,boss,bop,box,dog,doll,Don,dot,fob,fog,fop,fox,gob,got,hog,hop,hot,job,jog,jot,lob,log,lot,loss,mob,mod,mom,moss,mop,nod,non,not,pod,pop,pot,pox,rob,rod,Ron,rot,sob,sod,sop,Tom,toss,top,tot"
"But Nut Rut","but,cut,gut,hut,jut,mutt,nut,putt,rut,tut,fat,cat,hat,sat,mat,pat,bat,rat,vat","but,cut,gut,hut,jut,mutt,nut,putt,rut,tut"
"Bug Rug Jug","bug,dug,hug,lug,jug,mug,pug,rug,tug,zug,but,cut,gut,hut,jut,mutt,nut,putt,rut,tut,bag,hag,jag,lag,nag,rag,sag,tag,wag,fat,cat,hat,sat,mat,pat,bat,rat,vat","bug,dug,hug,jug,lug,mug,pug,rug,tug"
"Contrast /a/ and /u/","buff,bun,butt,buzz,hub,hum,muff,muss,nun,putt,run,sum,tux,bat,bag,bad,bass,dab,dad,Dan,fab,fad,fan,fat,fax,gab,gag,gap,gas,had,ham,hat,has,jab,jag,jam,jazz,lab,lag,lap,mad,man,map,mass,mat,max,nab,nag,nap,pad,Pam,pan,pass,pat,ram,ran,rap,rat,sad,sag,Sam,sat,tab,tag,tam,tan,tap,van,vat,wag,wax,zap","buff,bun,butt,buzz,hub,hum,mud,muff,muss,nun,putt,run,sum,tux"
"Contrast /i/ and /u/","bum,bus,duff,fun,fuzz,huff,mud,mum,nub,puff,pun,ruff,sub,sun,tub,bib,big,bid,Bill,bin,bit,dib,did,dig,dill,din,dim,diss,dip,fib,fin,fig,fill,fit,fix,fizz,gig,gill,hid,hill,him,hip,his,hiss,hit,jib,jig,Jim,jip,kid,kit,kiss,lid,lip,mid,miff,miss,mitt,mix,nip,nit,pill,pin,pit,pig,rib,rid,riff,rig,rim,rip,sid,sill,sin,sip,sis,sit,six,tiff,Tim,till,tin,tip,wig,will,wit,wiz,yip,zig,zip,zit","bum,bus,duff,fun,fuzz,huff,mud,mum,nub,puff,pun,ruff,sub,sun,tub"
"Contrast /o/ and /u/","bud,buff,bug,bum,bun,but,butt,bus,buzz,dub,dud,duff,dug,dun,fun,fuzz,hub,huff,hull,hug,hut,hum,jug,jut,lug,mud,muff,mug,mum,muss,nub,nun,nut,pub,puff,pug,pun,putt,pup,pus,run,ruff,rug,rut,sub,sum,sun,sup,tub,tug,tut,tux,Bob,bog,boss,bop,box,dog,doff,doll,don,dot,fob,fog,fop,fox,gob,God,got,hog,hop,hot,job,jog,jot,lob,log,lot,loss,mob,mod,mom,moss,mop,nod,non,not,pod,pop,pot,pox,rob,rod,Ron,rot,sob,sod,sop,tom,toss,top,tot","putt,nun,bus,fuzz,run,mud,muss,jug,but,hut,dug,rub,rut,hug,bug,bus"
"b-d-p for Bat-Bit-Bot-But Words","bud,dub,dud,pub,pug,pup,Bob,pod,pop,bop,bib,dib,bid,did,dip,pap,dad,bab,dab,bad,pad","bud,bug,bod,bad,bid,ban,bop,bot,bog"
