LessonKey, PrefixBlending, VowelBlending, SuffixBlending
"Fat Cat Sat","b,c,d,f,g,h,j,k,l,m,n,p,r,s,t,v,z","a","t"
"Cap Gap Tap","b,c,d,f,g,h,j,k,l,m,n,p,r,s,t,v,z","a","p,t"
"Cat + Cap","b,c,d,f,g,h,j,k,l,m,n,p,r,s,t,v,z","a","p,t"
"Bag Nag Tag","b,c,d,f,g,h,j,k,l,m,n,p,r,s,t,v,z","a","g,p,t"
"Fan Can Tan","b,c,d,f,g,h,j,k,l,m,n,p,r,s,t,v,z","a","n,g,p,t"
"Bat + Bag","b,c,d,f,g,h,j,k,l,m,n,p,r,s,t,v,z","a","g,p,t"
"Cat + Cap + Bag + Fan","b,c,d,f,g,h,j,k,l,m,n,p,r,s,t,v,z","a","g,p,t,n"
"b-d-p for /a/ words","b,d,p","a","b,d,p"
"All Cat Words","b,c,d,f,g,h,j,k,l,m,n,p,r,s,t,v,z","a","b,d,ff,g,k,m,n,p,ss,t,zz"
"Bit Pit Sit","b,c,d,f,g,h,j,k,l,m,n,p,r,s,t,v,z","i","t"
"Bat + Bit","","",""
"Big Dig Fig","b,c,d,f,g,h,j,k,l,m,n,p,r,s,t,v,z","a,i","g,t"
"Bit + Big","b,c,d,f,g,h,j,k,l,m,n,p,r,s,t,v,z","a,i","g,t"
"Bag + Big","b,c,d,f,g,h,j,k,l,m,n,p,r,s,t,v,z","a,i","g,t"
"Contrast /a/ + /i/","","",""
"b-d-p for /a/ and /i/ words","b,d,p","a,i","b,d,p"
"All Bit Words","b,c,d,f,g,h,j,k,l,m,n,p,r,s,t,v,z","a,i","b,d,ff,g,k,m,n,p,s,ss,t,tt,zz"
"Cot Dot Jot","b,c,d,f,g,h,j,k,l,m,n,p,r,s,t,v,z","o","t"
"Cot + Cog + Cop","b,c,d,f,g,h,j,k,l,m,n,p,r,s,t,v,z","a,i,o","g,p,t"
"Contrast /a/ + /i/ + /o/","b,c,d,f,g,h,j,k,l,m,n,p,r,s,t,v,z","a,i,o","b,d,g,m,n,p,t"
"b-d-p for Bat-Bit-Bot Words","b,d,p","a,i,o","b,d,p"
